Predicted,Expected
96.301,95.283
95.372,95.401
95.460,97.924
97.912,111.405
111.871,110.591
110.522,104.777
104.811,101.468
101.466,105.193
106.050,104.135
103.946,99.018
98.827,100.546
101.033,102.734
102.739,98.086
97.768,100.636
101.143,101.206
101.043,101.143
101.094,102.246
102.364,103.891
103.871,107.237
107.229,106.676
106.506,106.613
106.776,106.296
106.394,107.372
107.451,109.895
109.899,106.929
106.761,104.732
105.039,102.933
103.145,104.018
104.174,104.578
104.489,103.584
103.537,103.728
103.872,105.799
105.881,107.861
107.771,106.965
106.849,108.277
108.482,107.544
107.525,103.918
103.970,102.815
103.154,101.296
101.358,101.857
101.977,101.676
101.646,88.701
88.419,88.122
89.169,86.151
85.906,83.194
82.952,85.238
85.042,85.581
85.353,82.697
82.639,81.910
82.074,84.035
84.122,83.375
83.187,81.178
81.214,81.811
82.007,84.650
84.660,84.668
84.469,84.157
84.263,83.892
84.028,84.595
84.719,85.500
85.490,86.166
86.168,84.970
84.971,84.595
84.777,85.116
85.182,83.462
83.397,83.928
84.090,89.017
89.085,90.195
89.872,88.204
88.280,93.246
93.743,91.693
91.311,91.611
92.031,91.511
91.518,91.017
91.127,90.807
90.849,92.433
92.497,93.959
93.888,95.174
95.198,96.736
96.821,95.174
95.171,95.960
96.262,96.216
96.166,96.818
96.902,97.047
97.046,97.047
97.122,96.471
96.528,94.224
94.276,92.342
92.485,90.871
90.894,94.105
94.211,90.387
89.982,89.574
89.986,90.533
90.486,90.661
90.587,91.337
91.350,90.734
90.719,91.748
91.908,91.145
91.083,90.360
90.488,89.145
89.197,90.213
90.333,90.963
90.852,89.967
89.954,89.537
89.679,89.757
89.816,87.290
87.247,85.408
85.585,85.006
85.047,84.157
84.072,83.599
83.593,84.440
84.454,84.641
84.571,85.061
85.115,85.518
85.550,86.313
86.373,88.542
88.604,88.651
88.586,90.296
90.504,86.751
86.661,88.237
88.672,89.178
88.979,88.828
88.836,88.052
88.122,87.120
87.226,83.013
83.011,82.054
82.294,82.506
82.385,84.481
84.406,85.939
85.824,86.696
86.735,83.576
83.587,84.398
84.754,85.118
85.001,86.668
86.692,87.785
87.732,89.086
89.161,89.575
89.611,86.806
86.836,86.502
86.782,88.108
88.110,88.412
88.304,89.317
89.384,88.523
88.503,89.935
90.125,90.646
90.580,91.190
91.253,90.101
90.113,90.203
90.374,90.110
90.114,89.658
89.695,89.889
89.951,90.461
90.479,89.760
89.747,90.055
90.173,89.326
89.311,88.578
88.668,87.268
87.298,87.849
87.962,86.511
86.409,86.908
87.050,86.585
86.526,85.994
86.051,86.050
86.107,88.901
88.973,88.302
88.116,88.015
88.202,85.468
85.491,84.001
84.204,85.533
85.604,85.145
84.979,86.216
86.315,86.548
86.498,86.917
86.995,86.880
86.910,87.286
87.367,87.674
87.699,86.963
86.980,88.606
88.747,86.603
86.472,87.102
87.349,87.499
87.442,87.277
87.306,85.902
85.928,83.706
83.801,84.592
84.755,83.183
83.035,85.730
85.899,86.065
85.865,83.855
83.927,82.055
82.230,78.603
78.658,77.381
77.550,74.070
73.919,76.234
76.434,75.357
75.071,75.889
76.017,76.104
76.059,72.615
72.617,74.816
75.093,74.210
73.989,77.027
77.193,78.034
77.842,81.113
81.259,81.831
81.755,82.819
82.982,83.659
83.722,82.288
82.338,82.372
82.525,84.079
84.117,85.375
85.352,83.463
83.430,82.167
82.339,80.357
80.405,79.872
79.962,80.441
80.421,81.784
81.774,82.959
82.937,83.864
83.893,87.931
88.065,87.362
87.228,84.461
84.604,84.256
84.457,81.113
81.039,81.719
81.928,82.241
82.134,82.642
82.684,81.812
81.791,79.853
79.906,79.219
79.325,77.960
77.948,77.904
77.978,79.629
79.652,79.210
79.139,78.501
78.576,83.053
83.209,83.864
83.669,84.993
85.154,85.991
85.997,83.230
83.231,80.488
80.626,83.081
83.248,84.293
84.157,84.685
84.742,81.905
81.839,82.269
82.508,82.372
82.324,80.030
80.033,80.729
80.892,80.776
80.705,82.334
82.439,84.506
84.478,83.713
83.655,83.514
83.643,81.088
81.050,76.046
76.096,72.835
72.958,73.147
73.252,74.648
74.693,75.810
75.841,76.008
76.004,74.148
74.107,75.243
75.416,74.667
74.575,74.752
74.879,75.224
75.226,75.319
75.346,75.470
75.510,76.282
76.330,76.027
76.010,76.338
76.415,76.027
76.013,75.526
75.576,74.356
74.362,75.555
75.690,75.810
75.762,76.017
76.089,74.979
74.945,74.818
74.911,75.630
75.674,75.026
75.006,74.507
74.573,73.732
73.740,73.874
73.957,73.251
73.240,73.723
73.820,74.346
74.352,74.525
74.550,75.489
75.548,76.801
76.822,76.149
76.109,76.310
76.402,75.942
75.921,76.707
76.808,75.309
75.238,75.073
75.201,76.253
76.293,75.432
75.390,75.498
75.606,76.093
76.102,76.272
76.297,78.434
78.540,78.444
78.350,78.189
78.267,78.793
78.827,79.294
79.316,78.076
78.060,78.321
78.434,77.207
77.154,77.284
77.411,77.523
77.523,76.738
76.754,74.605
74.609,74.212
74.329,74.767
74.801,75.255
75.293,75.265
75.279,75.906
75.961,76.250
76.253,76.824
76.875,75.954
75.922,75.475
75.552,75.074
75.090,75.303
75.371,75.829
75.861,74.576
74.545,74.614
74.726,74.538
74.527,74.098
74.142,73.543
73.572,75.045
75.150,75.370
75.321,76.059
76.140,76.021
75.995,76.365
76.429,77.379
77.417,78.058
78.070,77.638
77.637,76.595
76.618,74.653
74.659,74.681
74.809,74.251
74.235,73.390
73.442,72.423
72.448,73.428
73.535,73.725
73.698,73.734
73.784,74.079
74.110,73.619
73.615,74.786
74.894,75.169
75.132,75.533
75.593,75.284
75.276,75.246
75.298,74.863
74.874,74.251
74.287,74.949
75.030,75.370
75.368,75.054
75.076,62.856
62.453,65.057
65.839,66.970
66.662,69.572
69.714,70.223
70.038,71.017
71.032,71.715
71.696,69.831
69.766,68.137
68.225,68.156
68.261,68.549
68.600,68.156
68.178,68.263
68.325,68.254
68.267,67.175
67.180,66.360
66.428,66.292
66.358,66.573
66.622,66.049
66.057,65.786
65.843,65.524
65.552,64.747
64.773,65.816
65.924,65.252
65.197,65.252
65.335,64.708
64.701,63.912
63.956,63.475
63.533,63.358
63.409,62.911
62.940,62.610
62.661,63.572
